Topic,Title,Authors,Publication,Date,Citations,Volume,Issue,Pages,DOI,Abstract
machine learning,"Research progress on secondary formation, photosensitive reaction mechanism and human health effects of chromophoric brown carbon",Chen B.,Journal of Environmental Sciences (China),2025-05-01,0,151,No issue available,310-330,10.1016/j.jes.2024.04.003,No abstract available
machine learning,Development of an automated photolysis rates prediction system based on machine learning,Pan W.,Journal of Environmental Sciences (China),2025-05-01,0,151,No issue available,211-224,10.1016/j.jes.2024.03.051,No abstract available
machine learning,Interpreting hourly mass concentrations of PM<inf>2.5</inf> chemical components with an optimal deep-learning model,Li H.,Journal of Environmental Sciences (China),2025-05-01,1,151,No issue available,125-139,10.1016/j.jes.2024.03.037,No abstract available
machine learning,A Comparative Study of LSTM and Temporal Convolutional Network Models for Semisubmersible Platform Wave Runup Prediction,Li Y.,Journal of Offshore Mechanics and Arctic Engineering,2025-03-11,0,147,1,,10.1115/1.4063266,No abstract available
machine learning,Advancements in Telehealth: Enhancing Breast Cancer Detection and Health Automation through Smart Integration of IoT and CNN Deep Learning in Residential and Healthcare Settings,Duodu N.Y.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,2,214-226,10.37934/araset.45.2.214226,No abstract available
machine learning,Prediction of Student Dropout in Malaysian’s Private Higher Education Institute using Data Mining Application,Roslan N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,2,168-176,10.37934/araset.45.2.168176,No abstract available
machine learning,Block-scale Oil Palm Yield Prediction Using Machine Learning Approaches Based on Landsat and MODIS Satellite Data,Ang Y.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,1,90-107,10.37934/araset.45.1.90107,No abstract available
machine learning,Comparative Analysis of Machine Learning Algorithms for Diabetic Disease Identification,Kaveripakam D.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,1,40-50,10.37934/araset.45.1.4050,No abstract available
machine learning,Predictive Modelling on Competitor Analysis Performance by using Generalised Linear Models and Machine Learning Approach,Muhammad N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,1,51-59,10.37934/araset.45.1.5159,No abstract available
machine learning,Development of an Educational Kit Using CAD Software for Simple Machine Learning,Yusof N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,44,2,11-24,10.37934/araset.44.2.1124,No abstract available
machine learning,Correlation Study on Voiding in Underfill of Large Quantity Ball Grid Array Chip Using Machine Learning,Ling C.,"Journal of Electronic Packaging, Transactions of the ASME",2025-03-01,0,147,1,,10.1115/1.4065077,No abstract available
machine learning,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0,149,No issue available,68-78,10.1016/j.jes.2024.01.023,No abstract available
machine learning,"Spatial differentiation of carbon emissions from energy consumption based on machine learning algorithm: A case study during 2015–2020 in Shaanxi, China",Cao H.,Journal of Environmental Sciences (China),2025-03-01,3,149,No issue available,358-373,10.1016/j.jes.2023.08.007,No abstract available
machine learning,Recent advance in coating strategies for lithium-rich manganese-based cathode materials,Wang Q.,Journal of Materials Science and Technology,2025-02-01,0,207,No issue available,274-294,10.1016/j.jmst.2024.02.094,No abstract available
machine learning,An Improved Network Intrusion Detection Method Based On CNN-LSTM-SA,Hui B.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0,44,1,225-238,10.37934/araset.44.1.225238,No abstract available
machine learning,Lithium-Ion Battery Capacity Prediction Method Based on Improved Extreme Learning Machine,Liu Z.,Journal of Electrochemical Energy Conversion and Storage,2025-02-01,0,22,1,,10.1115/1.4065095,No abstract available
machine learning,Testability-driven development: An improvement to the TDD efficiency,Parsa S.,Computer Standards and Interfaces,2025-01-01,0,91,No issue available,,10.1016/j.csi.2024.103877,No abstract available
machine learning,A Systematic Approach to Prevent Threats Using IDS in IoT Based Devices,Kumar V.,GMSARN International Journal,2025-01-01,0,19,1,107-112,No DOI available,No abstract available
machine learning,A novel and secured email classification using deep neural network with bidirectional long short-term memory,Poobalan A.,Computer Speech and Language,2025-01-01,0,89,No issue available,,10.1016/j.csl.2024.101667,No abstract available
machine learning,Machine learning accelerates design of bilayer-modified graphene hydrogen storage materials,Jia Z.,Separation and Purification Technology,2025-01-01,0,352,No issue available,,10.1016/j.seppur.2024.128229,No abstract available
machine learning,Predictive modeling and insight into protein fouling in microfiltration and ultrafiltration through one-dimensional convolutional models,Tuo J.,Separation and Purification Technology,2025-01-01,0,352,No issue available,,10.1016/j.seppur.2024.128237,No abstract available
machine learning,An intelligent approach: Integrating ChatGPT for experiment planning in biochar immobilization of soil cadmium,Yang H.,Separation and Purification Technology,2025-01-01,0,352,No issue available,,10.1016/j.seppur.2024.128170,No abstract available
machine learning,Efficient and easily recyclable photocatalytic reduction of Se(IV) from wastewater using stable TiO<inf>2</inf>/BiOBr/cloth: Mechanism insight and machine learning modeling,Liang Y.,Separation and Purification Technology,2025-01-01,0,352,No issue available,,10.1016/j.seppur.2024.128021,No abstract available
machine learning,Recent advances in modelling structure-property correlations in high-entropy alloys,Deshmukh A.A.,Journal of Materials Science and Technology,2025-01-01,0,204,No issue available,127-151,10.1016/j.jmst.2024.03.027,No abstract available
data science,Predictive Modelling on Competitor Analysis Performance by using Generalised Linear Models and Machine Learning Approach,Muhammad N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,1,51-59,10.37934/araset.45.1.5159,No abstract available
data science,Insight on Competency Skills from Job Advertisement for Data Scientists,Zulkifli N.D.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0,44,2,25-34,10.37934/araset.44.2.2534,No abstract available
data science,Molecular Networking: Statistical Mechanics in the Age of AI and Machine Learning,Desgranges C.,Molecular Networking: Statistical Mechanics in the Age of AI and Machine Learning,2025-01-01,0,No volume available,No issue available,1-236,10.1201/9781003006411,No abstract available
data science,Deployment and validation of the CLL treatment infection model adjoined to an EHR system,Agius R.,npj Digital Medicine,2024-12-01,0,7,1,,10.1038/s41746-024-01132-6,No abstract available
data science,How do students reason about statistical sampling with computer simulations? An integrative review from a grounded cognition perspective,Gok S.,Cognitive Research: Principles and Implications,2024-12-01,0,9,1,,10.1186/s41235-024-00561-x,No abstract available
data science,Automatic removal of soft tissue from 3D dental photo scans; an important step in automating future forensic odontology identification,Kofod Petersen A.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63198-2,No abstract available
data science,Five recommendations to advance implementation science for humanitarian settings: the next frontier of humanitarian research,Falb K.,Conflict and Health,2024-12-01,0,18,1,,10.1186/s13031-024-00597-2,No abstract available
data science,Providing insights into health data science education through artificial intelligence,Rohani N.,BMC Medical Education,2024-12-01,0,24,1,,10.1186/s12909-024-05555-3,No abstract available
data science,LLM potentiality and awareness: a position paper from the perspective of trustworthy and responsible AI modeling,Sarker I.H.,Discover Artificial Intelligence,2024-12-01,0,4,1,,10.1007/s44163-024-00129-0,No abstract available
data science,Cognitive pairwise comparison forward feature selection with deep learning for astronomical object classification with sloan digital sky survey,Yuen K.K.F.,Discover Artificial Intelligence,2024-12-01,0,4,1,,10.1007/s44163-024-00140-5,No abstract available
data science,An operational guide to translational clinical machine learning in academic medical centers,Poddar M.,npj Digital Medicine,2024-12-01,0,7,1,,10.1038/s41746-024-01094-9,No abstract available
data science,Salzburg Intensive Care database (SICdb): a detailed exploration and comparative analysis with MIMIC-IV,Sadeghi S.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-61380-0,No abstract available
data science,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03219-x,No abstract available
data science,Is ChatGPT the way toward artificial general intelligence,Emmert-Streib F.,Discover Artificial Intelligence,2024-12-01,0,4,1,,10.1007/s44163-024-00126-3,No abstract available
data science,A Machine Learning Model for Prediction of Marine Icing,Deshpande S.,Journal of Offshore Mechanics and Arctic Engineering,2024-12-01,0,146,6,,10.1115/1.4064108,No abstract available
data science,Hierarchical Bayesian adaptive lasso methods on exponential random graph models,Han D.,Applied Network Science,2024-12-01,0,9,1,,10.1007/s41109-024-00619-1,No abstract available
data science,Gaining a better understanding of online polarization by approaching it as a dynamic process,Treuillier C.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-58915-w,No abstract available
data science,DAPS diagrams for defining Data Science projects,de Mast J.,Journal of Big Data,2024-12-01,0,11,1,,10.1186/s40537-024-00916-7,No abstract available
data science,Computed entropy spectra for grain boundary segregation in polycrystals,Tuchinda N.,npj Computational Materials,2024-12-01,0,10,1,,10.1038/s41524-024-01260-3,No abstract available
data science,A document-level information extraction pipeline for layered cathode materials for sodium-ion batteries,Gou Y.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03196-1,No abstract available
data science,Delineating morbidity patterns in preterm infants at near-term age using a data-driven approach,Ciora O.A.,BMC Pediatrics,2024-12-01,0,24,1,,10.1186/s12887-024-04702-5,No abstract available
data science,PS-GO parametric protein search engine,Mi Y.,Computational and Structural Biotechnology Journal,2024-12-01,0,23,No issue available,1499-1509,10.1016/j.csbj.2024.04.003,No abstract available
data science,Remote sensing image information extraction based on Compensated Fuzzy Neural Network and big data analytics,Sun R.,BMC Medical Imaging,2024-12-01,0,24,1,,10.1186/s12880-024-01266-9,No abstract available
data science,Datascape: exploring heterogeneous dataspace,Rolland J.,Scientific Reports,2024-12-01,1,14,1,,10.1038/s41598-024-52493-7,No abstract available
data science,Examining the reliability of brain age algorithms under varying degrees of participant motion,Hanson J.L.,Brain Informatics,2024-12-01,0,11,1,,10.1186/s40708-024-00223-0,No abstract available
natural language processing,Towards Building a Chatbot-Based First Aid Service in Arabic Language,Anwar J.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,2,1-10,10.37934/araset.45.2.110,No abstract available
natural language processing,Urban Farming Growth Monitoring System Using Artificial Neural Network (ANN) and Internet of Things (IOT),Abdul Kader M.M.M.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0,43,1,144-159,10.37934/araset.43.1.144159,No abstract available
natural language processing,Sentiment Analysis on The Place of Interest in Malaysia,Zaman Q.A.B.K.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0,43,1,54-65,10.37934/araset.43.1.5465,No abstract available
natural language processing,Towards human-AI collaboration in the competency-based curriculum development process: The case of industrial engineering and management education,Padovano A.,Computers and Education: Artificial Intelligence,2024-12-01,0,7,No issue available,,10.1016/j.caeai.2024.100256,No abstract available
natural language processing,Enhancing Low-Resource Sentiment Analysis: A Transfer Learning Approach,Daneshfar F.,Passer Journal of Basic and Applied Sciences,2024-12-01,0,6,2,265-274,10.24271/PSR.2024.440793.1484,No abstract available
natural language processing,Analyzing “Jayu” in South Korean presidential rhetoric: a comprehensive study from 1948–2023 with a focus on the Yoon Suk Yeol administration,Han S.,Humanities and Social Sciences Communications,2024-12-01,0,11,1,,10.1057/s41599-024-03228-6,No abstract available
natural language processing,NmTHC: a hybrid error correction method based on a generative neural machine translation model with transfer learning,Wang R.,BMC Genomics,2024-12-01,0,25,1,,10.1186/s12864-024-10446-4,No abstract available
natural language processing,A materials terminology knowledge graph automatically constructed from text corpus,Zhang Y.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03448-0,No abstract available
natural language processing,Multi-task transfer learning for the prediction of entity modifiers in clinical text: application to opioid use disorder case detection,Almudaifer A.I.,Journal of Biomedical Semantics,2024-12-01,0,15,1,,10.1186/s13326-024-00311-4,No abstract available
natural language processing,Unraveling minnan imagery: a comprehensive analysis of traditional and modern minnan nursery rhymes through complex networks,Wu H.,Heritage Science,2024-12-01,0,12,1,,10.1186/s40494-024-01300-7,No abstract available
natural language processing,Enhancing post-traumatic stress disorder patient assessment: leveraging natural language processing for research of domain criteria identification using electronic medical records,Miranda O.,BMC Medical Informatics and Decision Making,2024-12-01,0,24,1,,10.1186/s12911-024-02554-8,No abstract available
natural language processing,Harmonizing existing climate change mitigation policy datasets with a hybrid machine learning approach,Wu L.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03411-z,No abstract available
natural language processing,"A comprehensive review on Arabic offensive language and hate speech detection on social media: methods, challenges and solutions",Abdelsamie M.M.,Social Network Analysis and Mining,2024-12-01,0,14,1,,10.1007/s13278-024-01258-1,No abstract available
natural language processing,Large language models present new questions for decision support,Handler A.,International Journal of Information Management,2024-12-01,0,79,No issue available,,10.1016/j.ijinfomgt.2024.102811,No abstract available
natural language processing,MFPINC: prediction of plant ncRNAs based on multi-source feature fusion,Nie Z.,BMC Genomics,2024-12-01,0,25,1,,10.1186/s12864-024-10439-3,No abstract available
natural language processing,Interdisciplinary approach to identify language markers for post-traumatic stress disorder using machine learning and deep learning,Quillivic R.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-61557-7,No abstract available
natural language processing,Explanatory argumentation in natural language for correct and incorrect medical diagnoses,Molinet B.,Journal of Biomedical Semantics,2024-12-01,0,15,1,,10.1186/s13326-024-00306-1,No abstract available
natural language processing,"Predicting multi-label emojis, emotions, and sentiments in code-mixed texts using an emojifying sentiments framework",Singh G.V.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-58944-5,No abstract available
natural language processing,ChineseEEG: A Chinese Linguistic Corpora EEG Dataset for Semantic Alignment and Neural Decoding,Mou X.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03398-7,No abstract available
natural language processing,Role of machine learning algorithms in suicide risk prediction: a systematic review-meta analysis of clinical studies,Ehtemam H.,BMC Medical Informatics and Decision Making,2024-12-01,0,24,1,,10.1186/s12911-024-02524-0,No abstract available
natural language processing,Exploring the roles of ribosomal peptides in prokaryote-phage interactions through deep learning-enabled metagenome mining,Gao Y.,Microbiome,2024-12-01,0,12,1,,10.1186/s40168-024-01807-y,No abstract available
natural language processing,ChatGPT performance on radiation technologist and therapist entry to practice exams,Duggan R.,Journal of Medical Imaging and Radiation Sciences,2024-12-01,0,55,4,,10.1016/j.jmir.2024.04.019,No abstract available
natural language processing,Uncovering the essence of diverse media biases from the semantic embedding space,Huang H.,Humanities and Social Sciences Communications,2024-12-01,0,11,1,,10.1057/s41599-024-03143-w,No abstract available
natural language processing,Generative design of compounds with desired potency from target protein sequences using a multimodal biochemical language model,Chen H.,Journal of Cheminformatics,2024-12-01,0,16,1,,10.1186/s13321-024-00852-x,No abstract available
natural language processing,A machine learning approach towards reviewing the role of ‘Internet of Things’ in the shipping industry,Gerakoudi K.,Journal of Shipping and Trade,2024-12-01,0,9,1,,10.1186/s41072-024-00177-w,No abstract available
computer vision,Enhanced Segmentation of Ischemic Stroke Lesion in MRI Images Using a Geometrically Customised Deep Convolution Model (GCDCM),Bhuvana R.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,1,239-248,10.37934/araset.45.1.239248,No abstract available
computer vision,Machine learning-assisted fluorescence visualization for sequential quantitative detection of aluminum and fluoride ions,Zhang Q.,Journal of Environmental Sciences (China),2025-03-01,0,149,No issue available,68-78,10.1016/j.jes.2024.01.023,No abstract available
computer vision,Analyzing the Impact of Loss Functions on Dehazing Effectiveness and Unveiling the Discrepancy between Quantitative and Qualitative Results,Murtaza A.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-02-01,0,44,1,12-21,10.37934/araset.44.1.1221,No abstract available
computer vision,Image Style Transfer Based On Generative Adversarial Network And Feature Transformation For Modern Home Design,Yue G.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0,28,2,257-263,10.6180/jase.202502_28(2).0005,No abstract available
computer vision,Development Of An AMR Applying Cartographer Combined With Visual Odometry For Navigation,Huang C.C.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0,28,1,35-40,10.6180/jase.202501_28(1).0004,No abstract available
computer vision,Relationship between spectral indices and quality parameters of tifton 85 forage,Souza J.F.,Revista Caatinga,2024-12-21,0,37,No issue available,,10.1590/1983-21252024v3712139rc,No abstract available
computer vision,RadioGalaxyNET: Dataset and novel computer vision algorithms for the detection of extended radio galaxies and infrared hosts,Gupta N.,Publications of the Astronomical Society of Australia,2024-12-11,1,41,No issue available,,10.1017/pasa.2023.64,No abstract available
computer vision,Using scalable computer vision to automate high-throughput semiconductor characterization,Siemenn A.E.,Nature Communications,2024-12-01,0,15,1,,10.1038/s41467-024-48768-2,No abstract available
computer vision,Multi-spectral remote sensing image fusion method based on gradient moment matching,Fan H.,Systems and Soft Computing,2024-12-01,0,6,No issue available,,10.1016/j.sasc.2024.200108,No abstract available
computer vision,Adaptive bridge model for compressed domain point cloud classification,Seleem A.,Eurasip Journal on Image and Video Processing,2024-12-01,0,2024,1,,10.1186/s13640-024-00631-6,No abstract available
computer vision,An enhanced speech emotion recognition using vision transformer,Akinpelu S.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63776-4,No abstract available
computer vision,Deep-learning-based decomposition of overlapping-sparse images: application at the vertex of simulated neutrino interactions,Alonso-Monsalve S.,Communications Physics,2024-12-01,0,7,1,,10.1038/s42005-024-01669-8,No abstract available
computer vision,RA-Net: reverse attention for generalizing residual learning,Wang Z.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63623-6,No abstract available
computer vision,Fine structural human phantom in dentistry and instance tooth segmentation,Takeya A.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63319-x,No abstract available
computer vision,A robust self-supervised approach for fine-grained crack detection in concrete structures,Sohaib M.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63575-x,No abstract available
computer vision,Surgeon assessment of significant rectal polyps using white light endoscopy alone and in comparison to fluorescence-augmented AI lesion classification,Hardy N.P.,Langenbeck's Archives of Surgery,2024-12-01,0,409,1,,10.1007/s00423-024-03364-2,No abstract available
computer vision,Fingerprint recognition using convolution neural network with inversion and augmented techniques,Garg R.,Systems and Soft Computing,2024-12-01,0,6,No issue available,,10.1016/j.sasc.2024.200106,No abstract available
computer vision,Sgrgan: sketch-guided restoration for traditional Chinese landscape paintings,Hu Q.,Heritage Science,2024-12-01,0,12,1,,10.1186/s40494-024-01253-x,No abstract available
computer vision,Light People: Professor Fanglin Bao and his cover story,Wang J.,Light: Science and Applications,2024-12-01,0,13,1,,10.1038/s41377-024-01434-0,No abstract available
computer vision,Zero-shot insect detection via weak language supervision,Feuer B.,Plant Phenome Journal,2024-12-01,0,7,1,,10.1002/ppj2.20107,No abstract available
computer vision,Sign language recognition based on dual-path background erasure convolutional neural network,Zhang J.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-62008-z,No abstract available
computer vision,A baseline structure inventory with critical attribution for the US and its territories,Yang H.L.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03219-x,No abstract available
computer vision,Contagious infection-free medical interaction system with machine vision controlled by remote hand gesture during an operation,Truong V.D.,Computational and Structural Biotechnology Journal,2024-12-01,0,24,No issue available,393-403,10.1016/j.csbj.2024.05.006,No abstract available
computer vision,Autonomous navigation and collision prediction of port channel based on computer vision and lidar,Zhang Z.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-60327-9,No abstract available
computer vision,The Poses for Equine Research Dataset (PFERD),Li C.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03312-1,No abstract available
big data,Meteorological and traffic effects on air pollutants using Bayesian networks and deep learning,Lin Y.C.,Journal of Environmental Sciences (China),2025-06-01,0,152,No issue available,54-70,10.1016/j.jes.2024.01.057,No abstract available
big data,IoT Sensor Data Retrieval and Analysis in Cloud Environments for Enhanced Power Management,Arulkumar V.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-03-01,0,45,2,202-213,10.37934/araset.45.2.202213,No abstract available
big data,A Novel Business Administration Big Data Clustering Optimization Method Based On Active Density Peak And Salpa Swarm Algorithm,Kong F.,Journal of Applied Science and Engineering (Taiwan),2025-01-01,0,28,3,469-477,10.6180/jase.202503_28(3).0005,No abstract available
big data,Technological Advancements in Bite-Sized Learning: Developing a Framework for Basic Jazz Guitar Reharmonization Techniques,Mazlan C.A.N.,Journal of Advanced Research in Applied Sciences and Engineering Technology,2025-01-01,0,43,1,243-250,10.37934/araset.43.1.243250,No abstract available
big data,Attention Pyramid Convolutional Neural Network Optimized with Big Data for Teaching Aerobics,Chen C.,International Journal of Computational Intelligence Systems,2024-12-01,0,17,1,,10.1007/s44196-024-00514-8,No abstract available
big data,Machine learning in infectious diseases: potential applications and limitations,Al Meslamani A.Z.,Annals of medicine,2024-12-01,0,56,1,2362869,10.1080/07853890.2024.2362869,No abstract available
big data,A Bibliometric Analysis of the Spatial Transcriptomics Literature from 2006 to 2023,Zhao S.H.,Cellular and Molecular Neurobiology,2024-12-01,0,44,1,,10.1007/s10571-024-01484-3,No abstract available
big data,Global soil respiration estimation based on ecological big data and machine learning model,Liu J.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-64235-w,No abstract available
big data,"Global high-resolution growth projections dataset for rooftop area consistent with the shared socioeconomic pathways, 2020–2050",Joshi S.,Scientific Data,2024-12-01,0,11,1,,10.1038/s41597-024-03378-x,No abstract available
big data,Preventive dental care reduces risk of cardiovascular disease and pneumonia in hemodialysis population: a nationwide claims database analysis,Mikami R.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-62735-3,No abstract available
big data,Improved ACOM pattern matching in 4D-STEM through adaptive sub-pixel peak detection and image reconstruction,Folastre N.,Scientific Reports,2024-12-01,0,14,1,,10.1038/s41598-024-63060-5,No abstract available
big data,Automatic grid topology detection method based on Lasso algorithm and t-SNE algorithm,Huang S.,Energy Informatics,2024-12-01,0,7,1,,10.1186/s42162-024-00347-x,No abstract available
big data,Big data processing and analysis platform based on deep neural network model,Huang S.,Systems and Soft Computing,2024-12-01,0,6,No issue available,,10.1016/j.sasc.2024.200107,No abstract available
big data,Construction of a Green and Low-Carbon Travel Order Prediction Model Based on Shared Bicycle Big Data,Cheng C.,International Journal of Computational Intelligence Systems,2024-12-01,0,17,1,,10.1007/s44196-024-00519-3,No abstract available
